Дата,Физические лица | Длинные позиции | (позиции покупателя),Короткие позиции | (позиции продавца),"Количество лиц, имеющих открытые длинные позиции","Количество лиц, имеющих открытые короткие позиции",Юридические лица | Длинные позиции | (позиции покупателя),Короткие позиции | (позиции продавца),"Количество лиц, имеющих открытые длинные позиции","Количество лиц, имеющих открытые короткие позиции",Совокупный объем открытых позиций,ОИ физиков,IMOEX | Close,Lons/Short физ.,Lons/Short юр.,% Long у физ.от общ.Long,% Short у физ.от общ.Sort
2020-11-19,3875,12479,265,934,15690,7086,28,22,39130,16354,3067.06,0.3105216764163795,2.214225232853514,19.805775619729108,63.782264247380525
2020-11-20,3823,12216,263,923,13854,5461,27,21,35354,16039,3050.81,0.3129502292075966,2.5368980040285662,21.62697290264185,69.10674888272898
2020-11-23,3943,9837,254,766,11241,5347,27,20,30368,13780,3066.64,0.40083358747585646,2.102300355339443,25.968124341412015,64.78530031612223
2020-11-24,3751,11747,254,822,13508,5512,27,24,34518,15498,3071.8,0.3193155699327488,2.450653120464441,21.733588272785216,68.06303957355583
2020-11-25,3747,10465,262,785,12156,5438,24,21,31806,14212,3111.75,0.35805064500716677,2.2353806546524457,23.561592152424073,65.80519398855562
2020-11-26,4000,10558,259,789,11942,5384,27,21,31884,14558,3141.43,0.37885963250615645,2.2180534918276376,25.090954710826747,66.2275749592272
2020-11-27,3769,10739,270,790,12267,5297,29,19,32072,14508,3132.55,0.3509637768879784,2.315839154238248,23.50336742329758,66.96807183836368
2020-11-30,4976,9618,312,701,9963,5321,25,20,29878,14594,3130.88,0.5173632771886048,1.87239240744221,33.308789075574005,64.38181939888882
2020-12-01,4363,10603,306,756,11551,5311,29,22,31828,14966,3113.06,0.41148731491087426,2.174919977405385,27.41611159984919,66.62686942314943
2020-12-02,4501,11346,300,794,12193,5348,26,21,33388,15847,3150.66,0.39670368411775075,2.2799177262528048,26.961782676410685,67.96453815742183
2020-12-03,4945,10201,326,704,10726,5470,25,22,31342,15146,3185.78,0.48475639643172236,1.9608775137111518,31.555101780358623,65.09476102354668
2020-12-04,4358,10412,304,720,11626,5572,29,19,31968,14770,3171.44,0.41855551286976567,2.0865039483129935,27.264764764764767,65.14014014014013
2020-12-07,4146,10753,332,719,12343,5736,25,22,32978,14899,3179.14,0.3855668185622617,2.1518479776847976,25.1440354175511,65.21317241797561
2020-12-08,3776,10357,331,746,12458,5877,25,23,32468,14133,3184.93,0.36458433909433235,2.1197890079972774,23.259825058519155,63.798201305901195
2020-12-09,3789,10862,309,817,14057,6984,26,20,35692,14651,3184.24,0.34883078622721414,2.0127434135166093,21.231648548694384,60.86517987224028
2020-12-10,3511,11146,261,839,14607,6972,26,22,36236,14657,3194.03,0.31500089718284585,2.0950946643717727,19.378518600287006,61.518931449387345
2020-12-11,2987,11151,293,800,15293,7129,26,23,36560,14138,3257.47,0.26786835261411535,2.145181652405667,16.34026258205689,61.00109409190372
2020-12-14,2736,10374,287,762,14333,6695,25,17,34138,13110,3293,0.26373626373626374,2.1408513816280808,16.02905852715449,60.77684691546078
2020-12-15,2413,11840,289,784,16973,7546,24,23,38772,14253,3252.68,0.20380067567567567,2.249271137026239,12.447126792530693,61.07500257918085
2020-12-16,2287,10604,269,757,15866,7549,26,17,36306,12891,3259.89,0.21567333081855902,2.1017353291826733,12.59846857268771,58.41458712058613
2020-12-17,1988,9196,207,599,12610,5402,16,20,29196,11184,3277.67,0.2161809482383645,2.334320621991855,13.618303877243457,62.99493081244007
2020-12-18,2703,10152,261,639,13156,5707,16,22,31718,12855,3281.59,0.2662529550827423,2.305239179954442,17.043949807680182,64.0141244719087
2020-12-21,3270,11845,266,781,14006,5431,18,16,34552,15115,3246.9,0.2760658505698607,2.5788989136438962,18.92799259087752,68.56332484371383
2020-12-22,2637,12863,224,877,16674,6448,19,24,38622,15500,3179.69,0.2050066081007541,2.5859181141439205,13.655429547926051,66.60970431360364
2020-12-23,2626,12450,235,881,16134,6310,18,23,37520,15076,3224.02,0.21092369477911646,2.5568938193343898,13.997867803837952,66.36460554371001
2020-12-24,3024,11381,278,794,14641,6284,19,24,35330,14405,3253.73,0.2657060012301204,2.329885423297263,17.11859609397113,64.42683272006792
2020-12-25,2821,11410,246,811,14841,6252,21,22,35324,14231,3236.38,0.24723926380368097,2.3738003838771595,15.97214358509795,64.60197033178575
