date,asset,type,total_oi,fiz_oi,yur_oi,fiz_share,yur_share,long_fiz,short_fiz,long_jur,short_jur,Open,High,Low,Close,Volume,contract
2026-06-26,PLZL,futures,,,,,,,,,,19518.0,20450.0,18944.0,20121.0,14322.0,PLZL-9.26
2026-06-26,ROSN,futures,42386.0,22253.0,20133.0,52.5,47.5,15799.0,6454.0,5394.0,14739.0,31500.0,34029.0,31383.0,32738.0,44174.0,ROSN-9.26
2026-06-26,SBRF,futures,754382.0,190958.0,563424.0,25.31,74.69,136116.0,54842.0,241075.0,322349.0,27005.0,27947.0,26540.0,27467.0,369945.0,SBRF-9.26
2026-06-26,VTBR,futures,521880.0,271717.0,250163.0,52.07,47.93,229383.0,42334.0,31557.0,218606.0,6337.0,6650.0,6265.0,6466.0,210283.0,VTBR-9.26
2026-06-26,YDEX,futures,423656.0,213157.0,210499.0,50.31,49.69,190328.0,22829.0,21500.0,188999.0,3533.0,3730.0,3512.0,3694.0,231441.0,YDEX-9.26
2026-06-29,ALRS,futures,222198.0,132453.0,89745.0,59.61,40.39,104960.0,27493.0,6139.0,83606.0,2128.0,2221.0,2072.0,2203.0,140513.0,ALRS-9.26
2026-06-29,GAZR,futures,1110754.0,426180.0,684574.0,38.37,61.63,382553.0,43627.0,172824.0,511750.0,10254.0,10600.0,10103.0,10535.0,338656.0,GAZR-9.26
2026-06-29,GMKN,futures,538504.0,325720.0,212784.0,60.49,39.51,184842.0,140878.0,84410.0,128374.0,1290.0,1358.0,1274.0,1347.0,547069.0,GMKN-9.26
2026-06-29,LKOH,futures,52472.0,21079.0,31393.0,40.17,59.83,11807.0,9272.0,14429.0,16964.0,45260.0,47349.0,44068.0,47099.0,46210.0,LKOH-9.26
2026-06-29,MGNT,futures,262592.0,166147.0,96445.0,63.27,36.73,127701.0,38446.0,3595.0,92850.0,1865.0,1938.0,1815.0,1909.0,156632.0,MGNT-9.26
2026-06-29,MIX,futures,426474.0,350032.0,76442.0,82.08,17.92,208143.0,141889.0,5094.0,71348.0,229000.0,236925.0,224300.0,236000.0,438437.0,MIX-9.26
2026-06-29,PLZL,futures,,,,,,,,,,20230.0,20505.0,19575.0,20266.0,7187.0,PLZL-9.26
2026-06-29,ROSN,futures,41464.0,20648.0,20816.0,49.8,50.2,14499.0,6149.0,6233.0,14583.0,32999.0,34338.0,32100.0,34253.0,45446.0,ROSN-9.26
2026-06-29,SBRF,futures,859936.0,188567.0,671369.0,21.93,78.07,140474.0,48093.0,289494.0,381875.0,27500.0,28430.0,27071.0,28371.0,278311.0,SBRF-9.26
2026-06-29,VTBR,futures,497238.0,254553.0,242685.0,51.19,48.81,210351.0,44202.0,38268.0,204417.0,6485.0,6750.0,6381.0,6715.0,187068.0,VTBR-9.26
2026-06-29,YDEX,futures,533208.0,279309.0,253899.0,52.38,47.62,255694.0,23615.0,10910.0,242989.0,3697.0,3778.0,3599.0,3753.0,197061.0,YDEX-9.26
2026-06-30,ALRS,futures,219542.0,127030.0,92512.0,57.86,42.14,103882.0,23148.0,5889.0,86623.0,2202.0,2264.0,2181.0,2204.0,100056.0,ALRS-9.26
2026-06-30,GAZR,futures,1068240.0,405643.0,662597.0,37.97,62.03,362747.0,42896.0,171373.0,491224.0,10589.0,10687.0,10361.0,10423.0,261331.0,GAZR-9.26
2026-06-30,GMKN,futures,559146.0,336802.0,222344.0,60.24,39.76,197286.0,139516.0,82287.0,140057.0,1347.0,1369.0,1310.0,1320.0,332887.0,GMKN-9.26
2026-06-30,LKOH,futures,49658.0,19845.0,29813.0,39.96,60.04,10662.0,9183.0,14167.0,15646.0,46883.0,48227.0,46470.0,46960.0,25779.0,LKOH-9.26
2026-06-30,MGNT,futures,246746.0,154780.0,91966.0,62.73,37.27,112224.0,42556.0,11149.0,80817.0,1916.0,2033.0,1902.0,1975.0,149484.0,MGNT-9.26
2026-06-30,MIX,futures,392042.0,320677.0,71365.0,81.8,18.2,192677.0,128000.0,3344.0,68021.0,235825.0,240125.0,232875.0,234475.0,331098.0,MIX-9.26
2026-06-30,NVTK,futures,183906.0,60143.0,123763.0,32.7,67.3,49134.0,11009.0,42819.0,80944.0,10063.0,10321.0,9903.0,10047.0,41978.0,NVTK-9.26
2026-06-30,PLZL,futures,26266.0,8856.0,17410.0,33.72,66.28,6369.0,2487.0,6764.0,10646.0,20181.0,20445.0,19961.0,20146.0,4603.0,PLZL-9.26
2026-06-30,ROSN,futures,40668.0,20112.0,20556.0,49.45,50.55,14166.0,5946.0,6168.0,14388.0,34000.0,34762.0,33660.0,33753.0,26717.0,ROSN-9.26
2026-06-30,SBRF,futures,852582.0,183285.0,669297.0,21.5,78.5,132486.0,50799.0,293805.0,375492.0,28396.0,28843.0,28109.0,28352.0,159577.0,SBRF-9.26
2026-06-30,VTBR,futures,513118.0,249894.0,263224.0,48.7,51.3,200569.0,49325.0,55990.0,207234.0,6767.0,6930.0,6607.0,6683.0,221992.0,VTBR-9.26
2026-06-30,YDEX,futures,550480.0,297407.0,253073.0,54.03,45.97,272477.0,24930.0,2763.0,250310.0,3753.0,3879.0,3729.0,3758.0,187510.0,YDEX-9.26
2026-07-01,ALRS,futures,223304.0,131044.0,92260.0,58.68,41.32,104618.0,26426.0,7034.0,85226.0,2220.0,2231.0,2171.0,2208.0,76485.0,ALRS-9.26
2026-07-01,GAZR,futures,1064930.0,402163.0,662767.0,37.76,62.24,358756.0,43407.0,173709.0,489058.0,10417.0,10577.0,10310.0,10430.0,192816.0,GAZR-9.26
2026-07-01,GMKN,futures,529300.0,340147.0,189153.0,64.26,35.74,209807.0,130340.0,54843.0,134310.0,1311.0,1347.0,1301.0,1313.0,271519.0,GMKN-9.26
2026-07-01,LKOH,futures,51862.0,20474.0,31388.0,39.48,60.52,11570.0,8904.0,14361.0,17027.0,46867.0,47781.0,46261.0,46708.0,21941.0,LKOH-9.26
2026-07-01,MGNT,futures,258230.0,158309.0,99921.0,61.31,38.69,112835.0,45474.0,16280.0,83641.0,1971.0,1991.0,1914.0,1961.0,99722.0,MGNT-9.26
2026-07-01,MIX,futures,369676.0,289752.0,79924.0,78.38,21.62,179205.0,110547.0,5633.0,74291.0,234475.0,237175.0,232525.0,233850.0,238151.0,MIX-9.26
2026-07-01,NVTK,futures,188150.0,62655.0,125495.0,33.3,66.7,51481.0,11174.0,42594.0,82901.0,10062.0,10250.0,9959.0,10025.0,32186.0,NVTK-9.26
2026-07-01,PLZL,futures,27120.0,8910.0,18210.0,32.85,67.15,6425.0,2485.0,7135.0,11075.0,,,,,,PLZL-9.26
2026-07-01,ROSN,futures,39328.0,18955.0,20373.0,48.2,51.8,13491.0,5464.0,6173.0,14200.0,33753.0,34157.0,33365.0,33527.0,17276.0,ROSN-9.26
2026-07-01,SBRF,futures,962076.0,198010.0,764066.0,20.58,79.42,124025.0,73985.0,357013.0,407053.0,28377.0,28694.0,28173.0,28325.0,239296.0,SBRF-9.26
