date,close,open,high,low,value,capitalization,divisor
2001-06-08,216.25,212.32,216.25,216.25,0.0,6275159765419.83,3254811524.0
2001-06-09,215.75,216.25,215.75,215.75,0.0,6275159765419.83,3254811524.0
2001-06-13,215.11,215.75,215.11,215.11,0.0,6275159765419.83,3254811524.0
2001-06-14,213.16,215.11,213.16,213.16,0.0,6275159765419.83,3254811524.0
2001-06-15,215.16,213.16,215.16,215.16,0.0,6275159765419.83,3254811524.0
2001-06-18,218.92,215.16,218.92,218.92,0.0,6275159765419.83,3254811524.0
2001-06-19,223.55,218.92,223.55,223.55,0.0,6275159765419.83,3254811524.0
2001-06-20,223.42,223.55,223.42,223.42,0.0,6275159765419.83,3254811524.0
2001-06-21,228.17,223.42,228.17,228.17,0.0,6275159765419.83,3254811524.0
2001-06-22,231.04,228.17,231.04,231.04,0.0,6275159765419.83,3254811524.0
2001-06-25,227.51,231.04,227.51,227.51,0.0,6275159765419.83,3254811524.0
2001-06-26,223.65,227.51,223.65,223.65,0.0,6275159765419.83,3254811524.0
2001-06-27,222.86,223.65,222.86,222.86,0.0,6275159765419.83,3254811524.0
2001-06-28,222.58,222.86,222.58,222.58,0.0,6275159765419.83,3254811524.0
2001-06-29,219.4,222.58,219.4,219.4,0.0,6275159765419.83,3254811524.0
2001-07-02,217.9,219.4,217.9,217.9,0.0,6275159765419.83,3254811524.0
2001-07-03,215.18,217.9,215.18,215.18,0.0,6275159765419.83,3254811524.0
2001-07-04,216.55,215.18,216.55,216.55,0.0,6275159765419.83,3254811524.0
2001-07-05,221.39,216.55,221.39,221.39,0.0,6275159765419.83,3254811524.0
2001-07-06,218.2,221.39,218.2,218.2,0.0,6275159765419.83,3254811524.0
2001-07-09,211.87,218.2,211.87,211.87,0.0,6275159765419.83,3254811524.0
2001-07-10,213.2,211.87,213.2,213.2,0.0,6275159765419.83,3254811524.0
2001-07-11,204.15,213.2,204.15,204.15,0.0,6275159765419.83,3254811524.0
2001-07-12,204.51,204.15,204.51,204.51,0.0,6275159765419.83,3254811524.0
2001-07-13,202.73,204.51,202.73,202.73,0.0,6275159765419.83,3254811524.0
2001-07-16,206.4,202.73,206.4,206.4,0.0,6275159765419.83,3254811524.0
2001-07-17,204.69,206.4,204.69,204.69,0.0,6275159765419.83,3254811524.0
2001-07-18,200.36,204.69,200.36,200.36,0.0,6275159765419.83,3254811524.0
2001-07-19,199.35,200.36,199.35,199.35,0.0,6275159765419.83,3254811524.0
2001-07-20,202.26,199.35,202.26,202.26,0.0,6275159765419.83,3254811524.0
2001-07-23,202.51,202.26,202.51,202.51,0.0,6275159765419.83,3254811524.0
2001-07-24,201.05,202.51,201.05,201.05,0.0,6275159765419.83,3254811524.0
2001-07-25,203.82,201.05,203.82,203.82,0.0,6275159765419.83,3254811524.0
2001-07-26,208.33,203.82,208.33,208.33,0.0,6275159765419.83,3254811524.0
2001-07-27,206.99,208.33,206.99,206.99,0.0,6275159765419.83,3254811524.0
2001-07-30,201.58,206.99,201.58,201.58,0.0,6275159765419.83,3254811524.0
2001-07-31,200.64,201.58,200.64,200.64,0.0,6275159765419.83,3254811524.0
2001-08-01,198.78,200.64,198.78,198.78,0.0,6275159765419.83,3254811524.0
2001-08-02,200.04,198.78,200.04,200.04,0.0,6275159765419.83,3254811524.0
2001-08-03,200.87,200.04,200.87,200.87,0.0,6275159765419.83,3254811524.0
2001-08-06,197.21,200.87,197.21,197.21,0.0,6275159765419.83,3254811524.0
2001-08-07,188.92,197.21,188.92,188.92,0.0,6275159765419.83,3254811524.0
2001-08-08,189.1,188.92,189.1,189.1,0.0,6275159765419.83,3254811524.0
2001-08-09,189.81,189.1,189.81,189.81,0.0,6275159765419.83,3254811524.0
2001-08-10,191.62,189.81,191.62,191.62,0.0,6275159765419.83,3254811524.0
2001-08-13,190.92,191.62,190.92,190.92,0.0,6275159765419.83,3254811524.0
2001-08-14,194.1,190.92,194.1,194.1,0.0,6275159765419.83,3254811524.0
2001-08-15,191.43,194.1,191.43,191.43,0.0,6275159765419.83,3254811524.0
2001-08-16,186.11,191.43,186.11,186.11,0.0,6275159765419.83,3254811524.0
2001-08-17,187.13,186.11,187.13,187.13,0.0,6275159765419.83,3254811524.0
2001-08-20,185.92,187.13,185.92,185.92,0.0,6275159765419.83,3254811524.0
2001-08-21,186.62,185.92,186.62,186.62,0.0,6275159765419.83,3254811524.0
2001-08-22,187.34,186.62,187.34,187.34,0.0,6275159765419.83,3254811524.0
2001-08-23,187.63,187.34,187.63,187.63,0.0,6275159765419.83,3254811524.0
2001-08-24,190.35,187.63,190.35,190.35,0.0,6275159765419.83,3254811524.0
2001-08-27,193.78,190.35,193.78,193.78,0.0,6275159765419.83,3254811524.0
2001-08-28,195.03,193.78,195.03,195.03,0.0,6275159765419.83,3254811524.0
2001-08-29,196.03,195.03,196.03,196.03,0.0,6275159765419.83,3254811524.0
2001-08-30,194.36,196.03,194.36,194.36,0.0,6275159765419.83,3254811524.0
2001-08-31,193.72,194.36,193.72,193.72,0.0,6275159765419.83,3254811524.0
2001-09-03,197.69,193.72,197.69,197.69,0.0,6275159765419.83,3254811524.0
2001-09-04,199.74,197.69,199.74,199.74,0.0,6275159765419.83,3254811524.0
2001-09-05,197.33,199.74,197.33,197.33,0.0,6275159765419.83,3254811524.0
2001-09-06,198.12,197.33,198.12,198.12,0.0,6275159765419.83,3254811524.0
2001-09-07,196.53,198.12,196.53,196.53,0.0,6275159765419.83,3254811524.0
2001-09-10,195.25,196.53,195.25,195.25,0.0,6275159765419.83,3254811524.0
2001-09-11,195.58,195.25,195.58,195.58,0.0,6275159765419.83,3254811524.0
2001-09-12,185.02,195.58,185.02,185.02,0.0,6275159765419.83,3254811524.0
2001-09-13,186.17,185.02,186.17,186.17,0.0,6275159765419.83,3254811524.0
2001-09-14,182.54,186.17,182.54,182.54,0.0,6275159765419.83,3254811524.0
2001-09-17,177.3,182.54,177.3,177.3,0.0,6275159765419.83,3254811524.0
2001-09-18,180.16,177.3,180.16,180.16,0.0,6275159765419.83,3254811524.0
2001-09-19,184.7,180.16,184.7,184.7,0.0,6275159765419.83,3254811524.0
2001-09-20,182.66,184.7,182.66,182.66,0.0,6275159765419.83,3254811524.0
2001-09-21,174.86,182.66,174.86,174.86,0.0,6275159765419.83,3254811524.0
2001-09-24,175.33,174.86,175.33,175.33,0.0,6275159765419.83,3254811524.0
2001-09-25,168.51,175.33,168.51,168.51,0.0,6275159765419.83,3254811524.0
2001-09-26,167.48,168.51,167.48,167.48,0.0,6275159765419.83,3254811524.0
2001-09-27,165.44,167.48,165.44,165.44,0.0,6275159765419.83,3254811524.0
2001-09-28,167.33,165.44,167.33,167.33,0.0,6275159765419.83,3254811524.0
2001-10-01,168.19,167.33,168.19,168.19,0.0,6275159765419.83,3254811524.0
2001-10-02,164.86,168.19,164.86,164.86,0.0,6275159765419.83,3254811524.0
2001-10-03,160.1,164.86,160.1,160.1,0.0,6275159765419.83,3254811524.0
2001-10-04,160.96,160.1,160.96,160.96,0.0,6275159765419.83,3254811524.0
2001-10-05,160.04,160.96,160.04,160.04,0.0,6275159765419.83,3254811524.0
2001-10-08,158.34,160.04,158.34,158.34,0.0,6275159765419.83,3254811524.0
2001-10-09,161.83,158.34,161.83,161.83,0.0,6275159765419.83,3254811524.0
2001-10-10,166.56,161.83,166.56,166.56,0.0,6275159765419.83,3254811524.0
2001-10-11,171.79,166.56,171.79,171.79,0.0,6275159765419.83,3254811524.0
2001-10-12,173.69,171.79,173.69,173.69,0.0,6275159765419.83,3254811524.0
2001-10-15,171.38,173.69,171.38,171.38,0.0,6275159765419.83,3254811524.0
2001-10-16,174.01,171.38,174.01,174.01,0.0,6275159765419.83,3254811524.0
2001-10-17,179.1,174.01,179.1,179.1,0.0,6275159765419.83,3254811524.0
2001-10-18,174.3,179.1,174.3,174.3,0.0,6275159765419.83,3254811524.0
2001-10-19,172.71,174.3,172.71,172.71,0.0,6275159765419.83,3254811524.0
2001-10-22,177.04,172.71,177.04,177.04,0.0,6275159765419.83,3254811524.0
2001-10-23,179.3,177.04,179.3,179.3,0.0,6275159765419.83,3254811524.0
2001-10-24,181.8,179.3,181.8,181.8,0.0,6275159765419.83,3254811524.0
2001-10-25,180.78,181.8,180.78,180.78,0.0,6275159765419.83,3254811524.0
2001-10-26,180.96,180.78,180.96,180.96,0.0,6275159765419.83,3254811524.0
2001-10-29,182.61,180.96,182.61,182.61,0.0,6275159765419.83,3254811524.0
2001-10-30,186.09,182.61,186.09,186.09,0.0,6275159765419.83,3254811524.0
2001-10-31,187.41,186.09,187.41,187.41,0.0,6275159765419.83,3254811524.0
2001-11-01,188.78,187.41,188.78,188.78,0.0,6275159765419.83,3254811524.0
2001-11-02,190.04,188.78,190.04,190.04,0.0,6275159765419.83,3254811524.0
2001-11-05,192.67,190.04,192.67,192.67,0.0,6275159765419.83,3254811524.0
2001-11-06,191.78,192.67,191.78,191.78,0.0,6275159765419.83,3254811524.0
2001-11-08,197.35,191.78,197.35,197.35,0.0,6275159765419.83,3254811524.0
2001-11-09,205.13,197.35,205.13,205.13,0.0,6275159765419.83,3254811524.0
2001-11-12,209.7,205.13,209.7,209.7,0.0,6275159765419.83,3254811524.0
