Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,Физические лица,,,,Юридические лица,,,,Совокупный объем открытых позиций,,,,,,,
,Длинные позиции,Короткие позиции,"Количество лиц, имеющих открытые длинные позиции","Количество лиц, имеющих открытые короткие позиции",Длинные позиции,Короткие позиции,"Количество лиц, имеющих открытые длинные позиции","Количество лиц, имеющих открытые короткие позиции",,,,,,,,
Дата,(позиции покупателя),(позиции продавца),,,(позиции покупателя),(позиции продавца),,,,,Close,,Lons/Short физ.,Lons/Short юр.,% Long у физ.от общ.Long,% Short у физ.от общ.Sort
2022-04-22 00:00:00,133556,98497,5419,2766,48221,83280,29,40,363554,,116.97,,1.3559397748154767,0.5790225744476465,73.47244150800157,54.18562304361938
2022-04-25 00:00:00,131821,114496,5419,3099,52119,69444,27,33,367880,,111.9,,1.1513153297931806,0.7505184033177812,71.6652169185604,62.246384690659994
2022-04-26 00:00:00,149760,108149,5160,2980,51145,92756,27,39,401810,,122.36,,1.3847562159613127,0.5513929018068912,74.54269430825514,53.83091510913118
2022-04-27 00:00:00,145875,108217,5428,3229,51890,89548,33,35,395530,,131.11,,1.347985991110454,0.579465761379372,73.76178798068415,54.71999595479483
2022-04-28 00:00:00,120592,119537,4771,3814,48601,49656,22,41,338386,,123.85,,1.0088257192333754,0.9787538263251168,71.27481633400909,70.6512680784666
2022-04-29 00:00:00,121797,121686,4610,3565,46935,47046,28,35,337464,,128.8,,1.000912183817366,0.9976406070654253,72.18369959462343,72.11791479980086
2022-05-04 00:00:00,113107,142811,4641,3912,63235,33531,21,47,352684,,123.2,,0.7920048175560707,1.8858668098177807,64.14070385954565,80.98524458155175
2022-05-05 00:00:00,117640,125120,4859,3314,48062,40582,20,44,331404,,124.8,,0.9402173913043478,1.1843181706175152,70.99491858879193,75.50904636033361
2022-05-06 00:00:00,105297,108486,4519,2872,48656,45467,20,46,307906,,123.1,,0.970604501963387,1.0701387819737391,68.39554929101739,70.46696069579677
2022-05-11 00:00:00,117077,98196,4971,2651,49964,68845,27,40,334082,,123.34,,1.1922787078903418,0.7257462415571211,70.08878059877514,58.7855676151364
2022-05-12 00:00:00,106913,109628,4686,2686,50654,47939,22,43,315134,,119.15,,0.9752344291604335,1.0566344729760737,67.85240564331365,69.57548217583631
2022-05-13 00:00:00,110633,101543,4596,2516,50712,59802,27,36,322690,,120.2,,1.0895187260569414,0.8479983947025184,68.56921503610276,62.93532492485048
2022-05-16 00:00:00,127819,96010,4838,2590,50397,82206,30,37,356432,,123.41,,1.331309238620977,0.6130574410626961,71.72139426314136,53.872828477802216
2022-05-17 00:00:00,153235,90239,5274,2403,50477,113473,32,41,407424,,127.75,,1.6981017076873635,0.44483709781181424,75.22139098334904,44.29734134464342
2022-05-18 00:00:00,133358,96608,5120,2532,49950,86700,26,40,366616,,125.12,,1.3804032792315337,0.5761245674740484,72.75078010779671,52.70255526218168
2022-05-19 00:00:00,135967,101965,5297,2505,50908,84910,32,39,373750,,125.6,,1.333467366253126,0.5995524673183371,72.75826086956522,54.56321070234114
2022-05-20 00:00:00,111021,111606,4653,2285,51009,50424,25,40,324060,,122.2,,0.9947583463254663,1.011601618277011,68.51879281614515,68.87983706720978
2022-05-23 00:00:00,123185,100389,4772,2554,51967,74763,26,45,350304,,119.46,,1.2270766717469046,0.6950898171555449,70.3303416461131,57.31536037270485
2022-05-24 00:00:00,151494,93656,4842,2458,58242,116080,35,37,419472,,123.6,,1.617557871359016,0.5017401791867677,72.23080443986726,44.65423198687874
2022-05-25 00:00:00,135537,94677,4838,2456,53383,94243,26,33,377840,,124.15,,1.4315726100320036,0.5664399477945311,71.74306584797799,50.114863434257884
2022-05-26 00:00:00,126644,91311,4874,2279,54177,89510,25,41,361642,,123,,1.3869522839526454,0.6052619819014635,70.03832519452939,50.49800631563812
2022-05-27 00:00:00,130880,98624,4641,2488,54799,87055,25,42,371358,,121.22,,1.327060350421804,0.6294756188616392,70.4872387292047,53.11532268054007
2022-05-30 00:00:00,132667,97844,4891,2273,56098,90921,25,42,377530,,120.67,,1.3559032746003843,0.6169971733702885,70.28156702778587,51.83376155537308
2022-05-31 00:00:00,130088,103819,4999,2336,58915,85184,28,39,378006,,118.3,,1.2530269025900846,0.6916204921111946,68.82853711316753,54.92981592884769
2022-06-01 00:00:00,209827,94287,5100,2268,57069,172609,32,37,533792,,121.97,,2.2254075323215288,0.33062586539519956,78.6175139380133,35.32724357052934
2022-06-02 00:00:00,144960,96945,5077,2307,54775,102790,26,39,399470,,119,,1.4952808293362216,0.5328825761260823,72.5761634165269,48.536811274939296
2022-06-03 00:00:00,131888,86786,4832,2002,62509,107611,36,36,388794,,119.21,,1.5196921162399466,0.5808792781407105,67.84466838480017,44.64369306110691
2022-06-06 00:00:00,133806,87485,4928,2119,57352,103673,28,42,382316,,118.78,,1.5294736240498372,0.5532009298467296,69.9975936136599,45.76580629636217
2022-06-07 00:00:00,140339,91834,4978,2091,55927,104432,30,42,392532,,118.32,,1.5281812836204456,0.535535085031408,71.50448880600817,46.79058013104664
2022-06-08 00:00:00,193552,84373,5093,1926,55950,165129,26,45,499004,,119.9,,2.2940040060208835,0.33882600875679014,77.57533005747449,33.816562592684626
2022-06-09 00:00:00,147714,93701,5082,1880,58171,112184,29,41,411770,,118.2,,1.5764399526152335,0.5185320544819225,71.74587755300288,45.51132914005392
2022-06-10 00:00:00,145672,82237,4805,1653,59062,122497,28,39,409468,,118.07,,1.7713681189732116,0.48215058327959054,71.15183604091162,40.167729834810046
2022-06-14 00:00:00,160201,78131,4554,1646,65262,147332,24,38,450926,,118.98,,2.050415328102802,0.44295875980778104,71.05423062764179,34.653579523025954
2022-06-15 00:00:00,156317,68959,4208,1366,79495,166853,29,34,471624,,121.14,,2.2668107136124362,0.4764373430504696,66.28882329991688,29.24321069326413
2022-06-16 00:00:00,151411,55827,3819,1217,90111,185695,32,32,483044,,123.73,,2.7121464524334105,0.485263469668004,62.69035532994924,23.114664502612598
2022-06-17 00:00:00,166929,39718,4192,1162,51276,178487,30,31,436410,,123.88,,4.202855128657032,0.28728142665852413,76.50099676909329,18.202149354964366
2022-06-20 00:00:00,193256,63183,4385,1807,53681,183754,34,33,493874,,131.29,,3.0586708450057767,0.29213513719429235,78.26125691978116,25.586688102633463
2022-06-21 00:00:00,176410,65342,4720,1610,47491,158559,33,30,447802,,129.1,,2.6997949251629887,0.2995162683922073,78.78928633637187,29.18343374973761
