date,asset,type,total_oi,fiz_oi,yur_oi,fiz_share,yur_share,long_fiz,short_fiz,long_jur,short_jur,Open,High,Low,Close,Volume,contract
2019-02-08,GAZR,futures,250772.0,,,,,,,,,,,,,,
2019-02-08,LKOH,futures,39274.0,,,,,,,,,,,,,,
2019-02-08,MGNT,futures,151428.0,,,,,,,,,,,,,,
2019-02-08,MXI,futures,50908.0,,,,,,,,,,,,,,
2019-02-08,ROSN,futures,29972.0,,,,,,,,,,,,,,
2019-02-08,SBRF,futures,641856.0,,,,,,,,,,,,,,
2019-02-08,VTBR,futures,261538.0,,,,,,,,,,,,,,
2019-02-11,ALRS,futures,10828.0,,,,,,,,,,,,,,
2019-02-11,GAZR,futures,245418.0,,,,,,,,,,,,,,
2019-02-11,LKOH,futures,41202.0,,,,,,,,,,,,,,
2019-02-11,MGNT,futures,148866.0,,,,,,,,,,,,,,
2019-02-11,MXI,futures,51526.0,,,,,,,,,,,,,,
2019-02-11,ROSN,futures,30304.0,,,,,,,,,,,,,,
2019-02-11,SBRF,futures,664286.0,,,,,,,,,,,,,,
2019-02-11,VTBR,futures,261570.0,,,,,,,,,,,,,,
2019-02-12,ALRS,futures,10550.0,,,,,,,,,,,,,,
2019-02-12,GAZR,futures,241510.0,,,,,,,,,,,,,,
2019-02-12,LKOH,futures,39944.0,,,,,,,,,,,,,,
2019-02-12,MGNT,futures,152880.0,,,,,,,,,,,,,,
2019-02-12,MXI,futures,51492.0,,,,,,,,,,,,,,
2019-02-12,ROSN,futures,30562.0,,,,,,,,,,,,,,
2019-02-12,SBRF,futures,706324.0,,,,,,,,,,,,,,
2019-02-12,VTBR,futures,253262.0,,,,,,,,,,,,,,
2019-02-13,ALRS,futures,13050.0,,,,,,,,,,,,,,
2019-02-13,GAZR,futures,259918.0,,,,,,,,,,,,,,
2019-02-13,LKOH,futures,39220.0,,,,,,,,,,,,,,
2019-02-13,MGNT,futures,152822.0,,,,,,,,,,,,,,
2019-02-13,MXI,futures,57220.0,,,,,,,,,,,,,,
2019-02-13,ROSN,futures,33788.0,,,,,,,,,,,,,,
2019-02-13,SBRF,futures,644352.0,,,,,,,,,,,,,,
2019-02-13,VTBR,futures,268426.0,,,,,,,,,,,,,,
2019-02-14,ALRS,futures,13952.0,,,,,,,,,,,,,,
2019-02-14,GAZR,futures,285694.0,,,,,,,,,,,,,,
2019-02-14,LKOH,futures,38518.0,,,,,,,,,,,,,,
2019-02-14,MGNT,futures,162154.0,,,,,,,,,,,,,,
2019-02-14,MXI,futures,43636.0,,,,,,,,,,,,,,
2019-02-14,ROSN,futures,33442.0,,,,,,,,,,,,,,
2019-02-14,SBRF,futures,711752.0,,,,,,,,,,,,,,
2019-02-14,VTBR,futures,276964.0,,,,,,,,,,,,,,
2019-02-15,ALRS,futures,14094.0,,,,,,,,,,,,,,
2019-02-15,GAZR,futures,298064.0,,,,,,,,,,,,,,
2019-02-15,LKOH,futures,38496.0,,,,,,,,,,,,,,
2019-02-15,MGNT,futures,169778.0,,,,,,,,,,,,,,
2019-02-15,MXI,futures,41764.0,,,,,,,,,,,,,,
2019-02-15,ROSN,futures,34554.0,,,,,,,,,,,,,,
2019-02-15,SBRF,futures,715346.0,,,,,,,,,,,,,,
2019-02-15,VTBR,futures,280126.0,,,,,,,,,,,,,,
2019-02-18,ALRS,futures,13368.0,,,,,,,,,,,,,,
2019-02-18,GAZR,futures,307468.0,,,,,,,,,,,,,,
2019-02-18,LKOH,futures,38694.0,,,,,,,,,,,,,,
2019-02-18,MGNT,futures,170466.0,,,,,,,,,,,,,,
2019-02-18,MXI,futures,44612.0,,,,,,,,,,,,,,
2019-02-18,ROSN,futures,34060.0,,,,,,,,,,,,,,
2019-02-18,SBRF,futures,713772.0,,,,,,,,,,,,,,
2019-02-18,VTBR,futures,284682.0,,,,,,,,,,,,,,
2019-02-19,ALRS,futures,12976.0,,,,,,,,,,,,,,
2019-02-19,GAZR,futures,321656.0,,,,,,,,,,,,,,
2019-02-19,LKOH,futures,38748.0,,,,,,,,,,,,,,
2019-02-19,MGNT,futures,174194.0,,,,,,,,,,,,,,
2019-02-19,MXI,futures,39772.0,,,,,,,,,,,,,,
2019-02-19,ROSN,futures,34634.0,,,,,,,,,,,,,,
2019-02-19,SBRF,futures,732530.0,,,,,,,,,,,,,,
2019-02-19,VTBR,futures,296644.0,,,,,,,,,,,,,,
2019-02-20,ALRS,futures,13322.0,,,,,,,,,,,,,,
2019-02-20,GAZR,futures,319210.0,,,,,,,,,,,,,,
2019-02-20,LKOH,futures,38170.0,,,,,,,,,,,,,,
2019-02-20,MGNT,futures,177348.0,,,,,,,,,,,,,,
2019-02-20,MXI,futures,43530.0,,,,,,,,,,,,,,
2019-02-20,ROSN,futures,34830.0,,,,,,,,,,,,,,
2019-02-20,SBRF,futures,761644.0,,,,,,,,,,,,,,
2019-02-20,VTBR,futures,294790.0,,,,,,,,,,,,,,
2019-02-21,ALRS,futures,13610.0,,,,,,,,,,,,,,
2019-02-21,GAZR,futures,316208.0,,,,,,,,,,,,,,
2019-02-21,LKOH,futures,37230.0,,,,,,,,,,,,,,
2019-02-21,MGNT,futures,186628.0,,,,,,,,,,,,,,
2019-02-21,MXI,futures,37234.0,,,,,,,,,,,,,,
2019-02-21,ROSN,futures,36236.0,,,,,,,,,,,,,,
2019-02-21,SBRF,futures,751978.0,,,,,,,,,,,,,,
2019-02-21,VTBR,futures,285360.0,,,,,,,,,,,,,,
2019-02-22,ALRS,futures,13530.0,,,,,,,,,,,,,,
2019-02-22,GAZR,futures,315080.0,,,,,,,,,,,,,,
2019-02-22,LKOH,futures,40116.0,,,,,,,,,,,,,,
2019-02-22,MGNT,futures,186750.0,,,,,,,,,,,,,,
2019-02-22,MXI,futures,41094.0,,,,,,,,,,,,,,
2019-02-22,ROSN,futures,36750.0,,,,,,,,,,,,,,
2019-02-22,SBRF,futures,740224.0,,,,,,,,,,,,,,
2019-02-22,VTBR,futures,282954.0,,,,,,,,,,,,,,
2019-02-25,ALRS,futures,15038.0,,,,,,,,,,,,,,
2019-02-25,GAZR,futures,312078.0,,,,,,,,,,,,,,
2019-02-25,LKOH,futures,35954.0,,,,,,,,,,,,,,
2019-02-25,MGNT,futures,190852.0,,,,,,,,,,,,,,
2019-02-25,MXI,futures,40596.0,,,,,,,,,,,,,,
2019-02-25,ROSN,futures,36722.0,,,,,,,,,,,,,,
2019-02-25,SBRF,futures,718008.0,,,,,,,,,,,,,,
2019-02-25,VTBR,futures,280368.0,,,,,,,,,,,,,,
2019-02-26,ALRS,futures,14454.0,,,,,,,,,,,,,,
2019-02-26,GAZR,futures,316150.0,,,,,,,,,,,,,,
2019-02-26,LKOH,futures,36752.0,,,,,,,,,,,,,,
2019-02-26,MGNT,futures,176806.0,,,,,,,,,,,,,,
2019-02-26,MXI,futures,42188.0,,,,,,,,,,,,,,
2019-02-26,ROSN,futures,37378.0,,,,,,,,,,,,,,
2019-02-26,SBRF,futures,733194.0,,,,,,,,,,,,,,
2019-02-26,VTBR,futures,292282.0,,,,,,,,,,,,,,
